Library Name,Street Address,City,Zip Code
FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,504 GRAND AVENUE NW,FORT PAYNE,35967
COLLINSVILLE PUBLIC LIBRARY,151 MAIN STREET,COLLINSVILLE,35961
GERALDINE PUBLIC LIBRARY,13543 ALABAMA HIGHWAY 227,GERALDINE,35974
RAINSVILLE PUBLIC LIBRARY,941 EAST MAIN STREET,RAINSVILLE,35986
ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,700 EAST CHURCH STREET,ATMORE,36502
ATMORE PUBLIC,700 E. CHURCH STREET,ATMORE,36502
BREWTON PUBLIC LIBRARY,206 WEST JACKSON STREET,BREWTON,36426
FLOMATON PUBLIC LIBRARY,436 HOUSTON STREET,FLOMATON,36441
GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,254 COLLEGE STREET,GADSDEN,35901
ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,604 NORTH 4TH STREET,ATTALLA,35954
RAINBOW CITY PUBLIC LIBRARY,3702 RAINBOW DRIVE,RAINBOW CITY,35906
DEMOPOLIS PUBLIC LIBRARY,211 E. WASHINGTON STREET,DEMOPOLIS,36732
MARENGO COUNTY PUBLIC LIBRARY,210 NORTH SHILOH STREET,LINDEN,36748
MARSHALL COUNTY COOPERATIVE LIBRARY,600 COLLEGE STREET SUITE 100,ALBERTVILLE,35950
ARAB PUBLIC LIBRARY,325 2ND STREET NW,ARAB,35016
BOAZ PUBLIC LIBRARY,404 THOMAS AVE.,BOAZ,35957
GUNTERSVILLE PUBLIC LIBRARY,1240 O'BRIG AVENUE,GUNTERSVILLE,35976
ALBERTVILLE PUBLIC LIBRARY,200 JACKSON STREET,ALBERTVILLE,35950
HARRISON REGIONAL LIBRARY SYSTEM,50 LESTER STREET,COLUMBIANA,35051
ALABASTER - ALBERT L. SCOTT LIBRARY,100 9TH STREET N.W.,ALABASTER,35007
CALERA PUBLIC LIBRARY,9700 HIGHWAY 25,CALERA,35040
COLUMBIANA PUBLIC LIBRARY,50 LESTER STREET,COLUMBIANA,35051
HELENA - JANE B. HOLMES PUBLIC LIBRARY,230 TUCKER ROAD,HELENA,35080
VINCENT - LALLOUISE F. MCGRAW LIBRARY,42860 HIGHWAY 25,VINCENT,35178
MONTEVALLO - PARNELL MEMORIAL LIBRARY,277 PARK DRIVE,MONTEVALLO,35115
PELHAM PUBLIC LIBRARY,3160 PELHAM PARKWAY,PELHAM,35124
WILSONVILLE - VERNICE STOUDENMIRE LIBRARY,9905 NORTH MAIN STREET,WILSONVILLE,35186
NORTH SHELBY LIBRARY,5521 CAHABA VALLEY ROAD,BIRMINGHAM,35242
ALICEVILLE PUBLIC LIBRARY,416 THIRD AVENUE NE,ALICEVILLE,35442
CARROLLTON PUBLIC LIBRARY,225 COMMERCE AVENUE,CARROLLTON,35447
GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY,287 MAIN STREET SOUTH,GORDO,35466
REFORM PUBLIC LIBRARY,302 FIRST STREET SOUTH,REFORM,35481
ST. CLAIR COUNTY LIBRARY,139 5TH AVENUE,ASHVILLE,35953
ASHVILLE PUBLIC LIBRARY,196 SIXTH AVENUE,ASHVILLE,35953
MOODY - DORIS STANLEY MEMORIAL LIBRARY,1515 BOOKMARK LANE,MOODY,35004
ODENVILLE PUBLIC LIBRARY,200 ALABAMA STREET,ODENVILLE,35120
PELL CITY PUBLIC LIBRARY,1923 1ST AVENUE NORTH,PELL CITY,35125
YORK - HIGHTOWER MEMORIAL LIBRARY,602 2ND AVENUE,YORK,36925
LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY,206 MONROE ST.,LIVINGSTON,35470
ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY,108 EAST 10TH STREET,ANNISTON,36201
JACKSONVILLE PUBLIC LIBRARY,200 PELHAM ROAD SOUTH,JACKSONVILLE,36265
PIEDMONT PUBLIC LIBRARY,106 NORTH MAIN STREET,PIEDMONT,36272
AKRON PUBLIC LIBRARY,207 FIRST AVENUE SOUTH,AKRON,35441
DOTHAN HOUSTON COUNTY LIBRARY SYSTEM,445 NORTH OATES STREET,DOTHAN,36303
BLOUNTSVILLE PUBLIC LIBRARY,65 CHESTNUT STREET,BLOUNTSVILLE,35031
CHEROKEE PUBLIC LIBRARY,118 CHURCH STREET,CHEROKEE,35616
BRENT - CENTREVILLE PUBLIC LIBRARY,20 LIBRARY STREET,CENTREVILLE,35042
CHILTON - CLANTON PUBLIC LIBRARY,100 FIRST AVENUE,CLANTON,35045
CHOCTAW COUNTY PUBLIC LIBRARY,124 NORTH ACADEMY AVENUE,BUTLER,36904
CITRONELLE MEMORIAL LIBRARY,7855 STATE STREET,CITRONELLE,36522
GROVE HILL PUBLIC LIBRARY,108 DUBOSE AVENUE,GROVE HILL,36451
HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY,915 MONROE STREET,HUNTSVILLE,35801
EUTAW - JAMES C. POOLE JR. MEMORIAL LIBRARY,420 PRAIRIE AVENUE,EUTAW,35462
GREENVILLE - BUTLER COUNTY PUBLIC LIBRARY,309 FORT DALE STREET,GREENVILLE,36037
HALE COUNTY LIBRARY,1103 MAIN STREET,GREENSBORO,36744
CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY,224 GRANT STREET,CHICKASAW,36611
JACKSON - WHITE SMITH MEMORIAL LIBRARY,213 COLLEGE AVENUE,JACKSON,36545
MARION - PERRY COUNTY PUBLIC LIBRARY,202 WASHINGTON STREET,MARION,36756
WOODVILLE PUBLIC LIBRARY,26 VENSON STREET,WOODVILLE,35776
CITY OF BAYOU LA BATRE PUBLIC LIBRARY,12747 PADGETT SWITCH ROAD,IRVINGTON,36544
SCOTTSBORO PUBLIC LIBRARY,1002 SOUTH BROAD STREET,SCOTTSBORO,35768
ONEONTA PUBLIC LIBRARY,221 SECOND STREET SOUTH,ONEONTA,35121
THOMASVILLE PUBLIC LIBRARY,1401 MOSLEY DRIVE,THOMASVILLE,36784
MACON COUNTY - TUSKEGEE PUBLIC LIBRARY,302 SOUTH MAIN STREET,TUSKEGEE,36083
MOUNDVILLE PUBLIC LIBRARY,279 MARKET STREET,MOUNDVILLE,35474
UNIONTOWN PUBLIC LIBRARY,108 WATER STREET,UNIONTOWN,36786
PRICHARD PUBLIC LIBRARY,300 WEST LOVEJOY LOOP,PRICHARD,36610
WASHINGTON COUNTY PUBLIC LIBRARY,14102 ST. STEPHENS AVENUE,CHATOM,36518
EVERGREEN PUBLIC LIBRARY,119 CEMETERY AVENUE,EVERGREEN,36401
MOBILE PUBLIC LIBRARY,701 GOVERNMENT STREET,MOBILE,36602
MONTGOMERY CITY-COUNTY PUBLIC LIBRARY,245 HIGH STREET,MONTGOMERY,36104
WHITE HALL PUBLIC LIBRARY,640 FREEDOM ROAD,WHITE HALL,36040
STEVENSON PUBLIC LIBRARY,102 WEST MAIN STREET,STEVENSON,35772
KILLEN PUBLIC LIBRARY,325 J. C. MAULDIN HIGHWAY,KILLEN,35645
LEXINGTON - BURCHELL CAMPBELL MEMORIAL LIBRARY,11075 HIGHWAY 101,LEXINGTON,35648
AUTAUGA - PRATTVILLE PUBLIC LIBRARY,254 DOSTER STREET,PRATTVILLE,36067
FAYETTE COUNTY MEMORIAL LIBRARY,326 TEMPLE AVENUE NORTH,FAYETTE,35555
PHENIX CITY - RUSSELL COUNTY PUBLIC LIBRARY,1501 17TH AVENUE,PHENIX CITY,36867
SELMA - DALLAS COUNTY PUBLIC LIBRARY,1103 SELMA AVENUE,SELMA,36703
TUSCALOOSA PUBLIC LIBRARY,1801 JACK WARNER PARKWAY,TUSCALOOSA,35401
WILCOX COUNTY LIBRARY,100 BROAD STREET,CAMDEN,36726
MONROE COUNTY PUBLIC LIBRARY,121 PINEVILLE ROAD,MONROEVILLE,36460
CULLMAN COUNTY PUBLIC LIBRARY,200 CLARK STREET NE,CULLMAN,35055
VALLEY - H. GRADY BRADSHAW / CHAMBERS COUNTY LIBRARY,3419 20TH AVENUE,VALLEY,36854
HOKES BLUFF - RUFUS FLOYD PUBLIC LIBRARY,3310 ALFORDS BEND ROAD,HOKES BLUFF,35903
RAGLAND PUBLIC LIBRARY,26 PROVIDENCE ROAD,RAGLAND,35131
HAYNEVILLE - LOWNDES COUNTY PUBLIC LIBRARY,215 B TUSKEENA STREET,HAYNEVILLE,36040
IDER PUBLIC LIBRARY,11309 ALABAMA HIGHWAY 75 UNIT 1,IDER,35981
EUFAULA CARNEGIE LIBRARY,217 NORTH EUFAULA AVENUE,EUFAULA,36027
GRANT PUBLIC LIBRARY,5379 MAIN STREET,GRANT,35747
DALEVILLE PUBLIC LIBRARY,308 DONNELL BOULEVARD,DALEVILLE,36322
COURTLAND PUBLIC LIBRARY,215 COLLEGE STREET,COURTLAND,35618
EVA PUBLIC LIBRARY,4549 HIGHWAY 55 EAST,EVA,35621
CROSSVILLE PUBLIC LIBRARY,8075 AL HWY 227,CROSSVILLE,35962
WALNUT GROVE - WESTSIDE PUBLIC LIBRARY,5151 WALNUT GROVE ROAD,WALNUT GROVE,35990
ORANGE BEACH PUBLIC LIBRARY,26267 CANAL ROAD,ORANGE BEACH,36561
SATSUMA PUBLIC LIBRARY,5466 OLD HIGHWAY 43,SATSUMA,36572
FALKVILLE PUBLIC LIBRARY,7 NORTH 1ST AVENUE,FALKVILLE,35622
SPRINGVILLE PUBLIC LIBRARY,6496 U.S. HIGHWAY 11,SPRINGVILLE,35146
BRIDGEPORT - LENA CAGLE PUBLIC LIBRARY,401 ALABAMA AVENUE,BRIDGEPORT,35740
WEST BLOCTON PUBLIC LIBRARY,62 WALTER OWENS DRIVE,WEST BLOCTON,35184
CARBON HILL CITY LIBRARY,215 NW 2ND STREET,CARBON HILL,35549
OHATCHEE PUBLIC LIBRARY,7803 ALABAMA HIGHWAY 77,OHATCHEE,36271
SOMERVILLE PUBLIC LIBRARY,192 BROAD STREET,SOMERVILLE,35670
CHELSEA PUBLIC LIBRARY,41 WELDON DRIVE,CHELSEA,35043
DUTTON PUBLIC LIBRARY,23 MAIN STREET,DUTTON,35744
FORT DEPOSIT PUBLIC LIBRARY,24 SOUTH POLLARD STREET,FORT DEPOSIT,36032
SUMMERDALE - MARJORIE YOUNCE SNOOK PUBLIC LIBRARY,202 WEST BROADWAY STREET,SUMMERDALE,36580
