Library Name,Street Address,City,Zip Code
BROWNSVILLE COMMUNITY LIBRARY,146 SPAULDING,BROWNSVILLE,97327
HARNEY COUNTY LIBRARY,80 WEST D ST,BURNS,97720
CANBY PUBLIC LIBRARY,292 N HOLLY ST,CANBY,97013
CLATSKANIE LIBRARY DISTRICT,11 LILLICH ST,CLATSKANIE,97016
GILLIAM COUNTY LIBRARY,134 S MAIN,CONDON,97823
COOS BAY PUBLIC LIBRARY,525 ANDERSON,COOS BAY,97420
COOS COUNTY LIBRARY SERVICE DISTRICT,525 W. ANDERSON AVE.,COOS BAY,97420
COQUILLE PUBLIC LIBRARY,105 N BIRCH ST,COQUILLE,97423
WASHINGTON COUNTY COOPERATIVE LIBRARY SERVICES,"111 NE LINCOLN ST., MS# 58",HILLSBORO,97124
CORNELIUS PUBLIC LIBRARY,1355 N BARLOW ST,CORNELIUS,97113
CORVALLIS-BENTON COUNTY PUBLIC LIBRARY,645 NW MONROE AVE,CORVALLIS,97330
COTTAGE GROVE PUBLIC LIBRARY,700 E GIBBS AVE,COTTAGE GROVE,97424
DALLAS PUBLIC LIBRARY,950 MAIN ST,DALLAS,97338
MARY GILKEY PUBLIC LIBRARY,416 FERRY ST,DAYTON,97114
DUFUR SCHOOL/COMMUNITY LIBRARY,802 NE FIFTH ST,DUFUR,97021
ECHO PUBLIC LIBRARY,20 S. BONANZA,ECHO,97826
ELGIN PUBLIC LIBRARY,1699 DIVISION ST,ELGIN,97827
WALLOWA COUNTY LIBRARY,207 NW LOGAN,ENTERPRISE,97828
CEDAR MILL COMMUNITY LIBRARY,12505 NW CORNELL RD,PORTLAND,97229
CLACKAMAS COUNTY LIBRARY,13793 SE SIEBEN PARK WAY,CLACKAMAS,97015
UKIAH PUBLIC LIBRARY,201 HILL ST,UKIAH,97880
ENTERPRISE CITY LIBRARY,101 NE FIRST ST,ENTERPRISE,97828
SHERWOOD PUBLIC LIBRARY,22560 SW PINE ST,SHERWOOD,97140
LINCOLN COUNTY LIBRARY DISTRICT,"1247 NW GROVE, #2",NEWPORT,97365
OREGON TRAIL LIBRARY DISTRICT,200 S MAIN,BOARDMAN,97818
WARRENTON COMMUNITY LIBRARY,225 S MAIN AVE,WARRENTON,97146
BANKS PUBLIC LIBRARY,42461 NW MARKET STREET,BANKS,97106
GARDEN HOME COMMUNITY LIBRARY,7475 SW OLESON RD,PORTLAND,97223
LANE LIBRARY DISTRICT,64 W. OREGON AVE.,CRESWELL,97426
NORTH PLAINS PUBLIC LIBRARY,31334 NW COMMERCIAL ST.,NORTH PLAINS,97133
SPRAY PUBLIC/SCHOOL LIBRARY,303 PARK AVE.,SPRAY,97874
LOWELL PUBLIC LIBRARY,107 E. 3RD ST.,LOWELL,97452
HOOD RIVER COUNTY LIBRARY DISTRICT,502 STATE ST,HOOD RIVER,97031
IONE LIBRARY DISTRICT,385 WEST 2ND ST,IONE,97843
SHERMAN COUNTY PUBLIC/SCHOOL LIBRARY,65912 HIGH SCHOOL LOOP,MORO,97039
WAGNER COMMUNITY LIBRARY,111 N MAIN ST,FALLS CITY,97344
NORTH POWDER CITY LIBRARY,290 E ST,NORTH POWDER,97867
BROWNSVILLE FREE PUBLIC LIBRARY,100 SENECA ST,BROWNSVILLE,15417
CARNEGIE FREE LIBRARY,299 S PITTSBURGH ST,CONNELLSVILLE,15425
GERMAN MASONTOWN PUB LIBRARY,104 S. MAIN STREET,MASONTOWN,15461
UNIONTOWN PUBLIC LIBRARY,24 JEFFERSON ST,UNIONTOWN,15401
FLENNIKEN PUBLIC LIBRARY,102 EAST GEORGE ST,CARMICHAELS,15320
EVA K BOWLBY PUBLIC LIBRARY,311 NORTH WEST ST,WAYNESBURG,15370
BENTLEYVILLE PUBLIC LIBRARY,931 MAIN ST,BENTLEYVILLE,15314
CALIFORNIA AREA PUBLIC LIBRARY,100 WOOD STREET,CALIFORNIA,15419
FRANK SARRIS PUBLIC LIBRARY,35 N JEFFERSON ST,CANONSBURG,15317
JOHN K TENER LIBRARY,638 FALLOWFIELD AVE,CHARLEROI,15022
DONORA PUBLIC LIBRARY,510 MELDON AVE,DONORA,15033
CITIZENS LIBRARY,55 SOUTH COLLEGE ST,WASHINGTON,15301
FREDERICKTOWN AREA PUBLIC LIBRARY,38 WATER ST.,FREDERICKTOWN,15333
CHARTIERS-HOUSTON COM LIBRARY,730 WEST GRANT ST,HOUSTON,15342
MARIANNA COMMUNITY PUBLIC LIB,247 JEFFERSON AVENUE,MARIANNA,15345
HERITAGE PUBLIC LIBRARY,52 FOURTH ST,MCDONALD,15057
MONONGAHELA AREA LIBRARY,813 WEST MAIN ST,MONONGAHELA,15063
PETERS TOWNSHIP PUBLIC LIBRARY,616 EAST MCMURRAY RD,MCMURRAY,15317
AVELLA AREA LIBRARY CENTER,11 SCHOOL COURT,AVELLA,15312
AVALON PUBLIC LIBRARY,317 SOUTH HOME AVE.,AVALON,15202
BALDWIN BOROUGH PUBLIC LIBRARY,"WALLACE BUILDING, 41 MACEK DRIVE",PITTSBURGH,15227
BETHEL PARK PUBLIC LIBRARY,5100 WEST LIBRARY AVE,BETHEL PARK,15102
BRIDGEVILLE PUBLIC LIBRARY,505 MCMILLEN ST,BRIDGEVILLE,15017
ANDREW CARNEGIE FREE LIBRARY,300 BEECHWOOD AVE,CARNEGIE,15106
CLAIRTON PUBLIC LIBRARY,616 MILLER AVE,CLAIRTON,15025
CORAOPOLIS MEMORIAL LIBRARY,601 SCHOOL ST,CORAOPOLIS,15108
CRAFTON PUBLIC LIBRARY,140 BRADFORD AVE,PITTSBURGH,15205
DORMONT PUBLIC LIBRARY,2950 WEST LIBERTY AVE,PITTSBURGH,15216
C C MELLOR MEMORIAL LIBRARY,ONE PENNWOOD AVE,PITTSBURGH,15218
GREEN TREE PUBLIC LIBRARY,10 W MANILLA AVE,PITTSBURGH,15220
JEFFERSON HILLS PUBLIC LIBRARY,925 OLD CLAIRTON RD,JEFFERSON HILLS,15025
CARNEGIE LIBRARY OF MCKEESPORT,1507 LIBRARY AVENUE,MCKEESPORT,15132
MONROEVILLE PUBLIC LIBRARY,4000 GATEWAY CAMPUS BLVD,MONROEVILLE,15146
MOON TOWNSHIP PUBLIC LIBRARY,"1700 BEAVER GRADE RD, SUITE 100",MOON TOWNSHIP,15108
MOUNT LEBANON PUBLIC LIBRARY,16 CASTLE SHANNON BLVD,PITTSBURGH,15228
NORTH VERSAILLES PUBLIC LIBRARY,1401 GREENSBURG AVE,NORTH VERSAILLES,15137
OAKMONT CARNEGIE LIBRARY,700 ALLEGHENY RIVER BLVD,OAKMONT,15139
COOPER-SIEGEL COMMUNITY LIBRARY,403 FOX CHAPEL RD,PITTSBURGH,15238
PENN HILLS LIBRARY,1037 STOTLER ROAD,PITTSBURGH,15235
CARNEGIE LIBRARY OF PITTSBURGH,4400 FORBES AVENUE,PITTSBURGH,15213
NORTHERN TIER REGIONAL LIBRARY,4015 DICKEY RD,GIBSONIA,15044
NORTHLAND PUBLIC LIBRARY,300 CUMBERLAND RD,PITTSBURGH,15237
SHALER NORTH HILLS LIBRARY,1822 MOUNT ROYAL BLVD,GLENSHAW,15116
SOUTH PARK TOWNSHIP LIBRARY,2575 BROWNSVILLE RD,SOUTH PARK,15129
SPRINGDALE FREE PUBLIC LIBRARY,331 SCHOOL ST,SPRINGDALE,15144
CARNEGIE FR LIB OF SWISSVALE,1800 MONONGAHELA AVE,SWISSVALE,15218
UPPER ST CLAIR TWNSHP LIBRARY,1820 MCLAUGHLIN RUN RD,UPPER ST CLAIR,15241
WILKINSBURG PUBLIC LIBRARY,605 ROSS AVE,WILKINSBURG,15221
COMM LIBRARY OF CASTLE SHANNON,3677 MYRTLE AVE,CASTLE SHANNON,15234
PLEASANT HILLS PUBLIC LIBRARY,302 OLD CLAIRTON RD,PITTSBURGH,15236
SEWICKLEY PUBLIC LIBRARY,500 THORN ST,SEWICKLEY,15143
BUTLER AREA PUBLIC LIBRARY,218 NORTH MCKEAN ST,BUTLER,16001
EVANS CITY PUBLIC LIBRARY,204 S. JACKSON STREET,EVANS CITY,16033
MARS AREA PUBLIC LIBRARY,107 GRAND AVE,MARS,16046
SOUTH BUTLER COMMUNITY LIBRARY,240 WEST MAIN ST,SAXONBURG,16056
ZELIENOPLE PUBLIC LIBRARY,227 SOUTH HIGH ST,ZELIENOPLE,16063
F D CAMPBELL MEMORIAL LIBRARY,17 SOUTH MAIN STREET,BESSEMER,16112
ELLWOOD CITY AREA PUB LIBRARY,415 LAWRENCE AVE..,ELLWOOD CITY,16117
NEW CASTLE PUBLIC LIBRARY,207 EAST NORTH STREET,NEW CASTLE,16101
STEY NEVANT PUBLIC LIBRARY,1000 ROEMER BLVD,FARRELL,16121
GREENVILLE AREA PUBLIC LIBRARY,330 MAIN ST,GREENVILLE,16125
GROVE CITY COMMUNITY LIBRARY,125 WEST MAIN ST,GROVE CITY,16127
MERCER AREA LIBRARY,110 E. VENANGO ST.,MERCER,16137
COMMUNITY LIBRARY OF THE SHENANGO VALLEY,11 N SHARPSVILLE AVE,SHARON,16146
CAMBRIDGE SPRINGS PUB LIBRARY ASSOCIATION,158 MCCLELLAN ST,CAMBRIDGE SPRINGS,16403
MARGARET SHONTZ MEM LIBRARY,145 SECOND ST,CONNEAUT LAKE,16316
JAMES A STONE MEMORIAL LIBRARY,1101 MAIN STREET,CONNEAUTVILLE,16406
LINESVILLE COMMUNITY PUBLIC LIBRARY,111 PENN STREET,LINESVILLE,16424
SAEGERTOWN AREA LIBRARY,325 BROAD ST,SAEGERTOWN,16433
"BENSON MEMORIAL LIBRARY, INC.",213 NORTH FRANKLIN ST,TITUSVILLE,16354
ALBION AREA PUBLIC LIBRARY,111 EAST PEARL STREET,ALBION,16401
CORRY PUBLIC LIBRARY,117 W WASHINGTON ST.,CORRY,16407
MCCORD MEMORIAL LIBRARY,32 WEST MAIN STREET,NORTH EAST,16428
UNION CITY PUBLIC LIBRARY,2 STRANAHAN ST.,UNION CITY,16438
WATERFORD PUBLIC LIBRARY,24 SOUTH PARK ROW,WATERFORD,16441
SHEFFIELD TOWNSHIP LIBRARY,20 LEATHER ST,SHEFFIELD,16347
SUGAR GROVE FREE LIBRARY,22 HARMON ST,SUGAR GROVE,16350
"TIDIOUTE LIBRARY ASSOCIATION, INC.",197 MAIN STREET,TIDIOUTE,16351
WARREN LIBRARY ASSOCIATION,205 MARKET ST,WARREN,16365
YOUNGSVILLE PUBLIC LIBRARY,100 BROAD STREET,YOUNGSVILLE,16371
CLARION FREE LIBRARY,644 MAIN ST.,CLARION,16214
FOXBURG FREE LIBRARY ASSOC,31 MAIN STREET,FOXBURG,16036
KNOX PUBLIC LIBRARY,305 NORTH MAIN ST,KNOX,16232
REDBANK VALLEY PUBLIC LIBRARY,720 BROAD ST,NEW BETHLEHEM,16242
ECCLES LESHER MEMORIAL LIBRARY,673 MAIN ST.,RIMERSBURG,16248
DUBOIS PUBLIC LIBRARY,31 S BRADY ST,DUBOIS,15801
MENGLE MEMORIAL LIBRARY,324 MAIN STREET,BROCKWAY,15824
REBECCA M ARTHURS MEM LIBRARY,223 VALLEY ST,BROOKVILLE,15825
PUNXSUTAWNEY MEMORIAL LIBRARY,"301 EAST MAHONING ST., SUITE 4",PUNXSUTAWNEY,15767
REYNOLDSVILLE PUBLIC LIBRARY,460 E. MAIN ST.,REYNOLDSVILLE,15851
SUMMERVILLE PUBLIC LIBRARY,114 SECOND AVENUE,SUMMERVILLE,15864
FRANKLIN PUBLIC LIBRARY,421 12TH ST,FRANKLIN,16323
OIL CITY LIBRARY,2 CENTRAL AVE,OIL CITY,16301
MURRYSVILLE COMMUNITY LIBRARY,4130 SARDIS RD,MURRYSVILLE,15668
GREENSBURG HEMPFIELD AREA LIB,237 SOUTH PENNSYLVANIA AVENUE,GREENSBURG,15601
NORWIN PUB LIB ASSOC,100 CARUTHERS LANE,IRWIN,15642
JEANNETTE PUBLIC LIBRARY,500 MAGEE AVENUE,JEANNETTE,15644
ADAMS MEMORIAL LIBRARY,1112 LIGONIER ST,LATROBE,15650
LIGONIER VALLEY LIBRARY,120 WEST MAIN ST,LIGONIER,15658
MONESSEN PUBLIC LIBRARY,326 DONNER AVENUE,MONESSEN,15062
MT PLEASANT FR PUB LIB ASSOC,120 S CHURCH ST,MOUNT PLEASANT,15666
NEW FLORENCE COMMUNITY LIBRARY,122 LIGONIER STREET,NEW FLORENCE,15944
PEOPLES LIBRARY,880 BARNES ST,NEW KENSINGTON,15068
BELLE VERNON PUBLIC LIBRARY,505 SPEER ST,BELLE VERNON,15012
SCOTTDALE PUBLIC LIBRARY,106 SPRING STREET,SCOTTDALE,15683
TRAFFORD COMMUNITY PUBLIC LIB,416 BRINTON AVENUE,TRAFFORD,15085
VANDERGRIFT PUB LIBRARY ASSOC,128C WASHINGTON AVENUE,VANDERGRIFT,15690
BEDFORD SYS ADMIN UNIT,240 SOUTH WOOD STREET,BEDFORD,15522
EVERETT FREE LIBRARY,137 EAST MAIN ST,EVERETT,15537
SAXTON COMMUNITY LIBRARY,315 FRONT ST,SAXTON,16678
BELLWOOD ANTIS PUBLIC LIBRARY,526 MAIN ST,BELLWOOD,16617
CLAYSBURG AREA PUB LIBRARY INC,957 BEDFORD ST,CLAYSBURG,16625
MARTINSBURG COMMUNITY LIBRARY,201 SOUTH WALNUT ST,MARTINSBURG,16662
ROARING SPRING COMM LIBRARY,320 EAST MAIN ST,ROARING SPRING,16673
TYRONE-SNYDER TWNSHP PUB LIB,1000 PENNSYLVANIA AVE.,TYRONE,16686
WILLIAMSBURG PUBLIC LIBRARY,511 WEST 2ND ST,WILLIAMSBURG,16693
CARROLLTOWN PUBLIC LIBRARY,140 EAST CARROLL STREET,CARROLLTOWN,15722
CRESSON PUBLIC LIBRARY,231 LAUREL AVE,CRESSON,16630
EBENSBURG FREE PUBLIC LIBRARY,225 W HIGHLAND AVE,EBENSBURG,15931
GALLITZIN PUBLIC LIBRARY,411 CONVENT STREET,GALLITZIN,16641
HASTINGS PUBLIC LIBRARY,312 BEAVER ST,HASTINGS,16646
CAMBRIA SYS ADMIN UNIT,248 MAIN ST.,JOHNSTOWN,15901
LILLY WASHINGTON PUB LIBRARY,520 CHURCH ST,LILLY,15938
NANTY GLO PUBLIC LIBRARY,942 ROBERTS ST,NANTY GLO,15943
PATTON PUBLIC LIBRARY,444 MAGEE AVENUE,PATTON,16668
PORTAGE PUBLIC LIBRARY,704 MAIN STREET,PORTAGE,15946
HIGHLAND COMMUNITY LIBRARY,330 SCHOOLHOUSE RD,JOHNSTOWN,15904
SOUTH FORK PUBLIC LIBRARY,320 MAIN ST,SOUTH FORK,15956
NORTHERN CAMBRIA PUBLIC LIBRARY,1030 PHILADELPHIA AVENUE,NORTHERN CAMBRIA,15714
BEAVERDALE PUBLIC LIBRARY,506 JEFFERSON AVE,BEAVERDALE,15921
MEYERSDALE PUBLIC LIBRARY,210 CENTER,MEYERSDALE,15552
SOMERSET COUNTY LIBRARY,"6022 GLADES PIKE, SUITE 120",SOMERSET,15501
MARY S BIESECKER PUB LIBRARY,230 S ROSINA AVE,SOMERSET,15501
WINDBER PUBLIC LIBRARY,1909 GRAHAM AVE,WINDBER,15963
BARBARA MOSCATO BROWN MEMORIAL LIBRARY,27 WEST 4TH. STREET,EMPORIUM,15834
JOHNSONBURG PUBLIC LIBRARY,520 MARKET ST,JOHNSONBURG,15845
RIDGWAY FREE PUBLIC LIBRARY,329 CENTER ST,RIDGWAY,15853
SAINT MARYS PUBLIC LIBRARY,127 CENTER ST,ST MARYS,15857
BRADFORD AREA PUBLIC LIBRARY,67 W WASHINGTON ST,BRADFORD,16701
FRIENDS MEMORIAL LIBRARY,230 CHASE STREET,KANE,16735
MOUNT JEWETT MEMORIAL LIBRARY,7 E. MAIN ST,MOUNT JEWETT,16740
SAMUEL W SMITH MEM PUB LIBRARY,201 E MAPLE ST,PORT ALLEGANY,16743
HAMLIN MEMORIAL LIBRARY,123 S MECHANIC ST,SMETHPORT,16749
COUDERSPORT PUBLIC LIBRARY,502 PARK AVE,COUDERSPORT,16915
GALETON PUBLIC LIBRARY,5 PARK LANE,GALETON,16922
GENESEE AREA LIBRARY,301 MAIN STREET,GENESEE,16923
OSWAYO VALLEY MEMORIAL LIBRARY,103 NORTH PLEASANT STREET,SHINGLEHOUSE,16748
ULYSSES LIBRARY,401 NORTH MAIN ST,ULYSSES,16948
CENTRE CO LIB & HIST MUSEUM,203 NORTH ALLEGHENY ST,BELLEFONTE,16823
SCHLOW CENTRE REGION LIBRARY,211 SOUTH ALLEN STREET,STATE COLLEGE,16801
JOSEPH & ELIZABETH SHAW LIB,1 SOUTH FRONT ST,CLEARFIELD,16830
CLEARFIELD COUNTY PUBLIC LIBRARY,601 BEECH ST,CURWENSVILLE,16833
ANNIE HALENBAKE ROSS LIBRARY,232 WEST MAIN ST,LOCK HAVEN,17745
FULTON COUNTY LIBRARY,227 NORTH FIRST ST,MCCONNELLSBURG,17233
HUNTINGDON COUNTY LIBRARY,330 PENN ST,HUNTINGDON,16652
JUNIATA COUNTY LIBRARY,498 JEFFERSON ST,MIFFLINTOWN,17059
MIFFLIN COUNTY LIBRARY,123 NORTH WAYNE ST,LEWISTOWN,17044
EAST BERLIN COMMUNITY LIBRARY,105 LOCUST STREET,EAST BERLIN,17316
ADAMS SYS ADMIN UNIT,140 BALTIMORE ST,GETTYSBURG,17325
ALEXANDER HAMILTON MEMORIAL FREE LIBRARY,45 EAST MAIN STREET,WAYNESBORO,17268
DILLSBURG AREA PUBLIC LIBRARY,17 SOUTH BALTIMORE STREET,DILLSBURG,17019
A HUFNAGEL PUBLIC LIBRARY OF GLEN ROCK,32 MAIN STREET,GLEN ROCK,17327
GUTHRIE MEMORIAL LIBRARY - HANOVER'S PUBLIC LIBRARY,2 LIBRARY PLACE,HANOVER,17331
KALTREIDER-BENFER LIBRARY,147 S CHARLES ST,RED LION,17356
PAUL SMITH LIBRARY OF SOUTHERN YORK COUNTY,80 CONSTITUTION AVE,SHREWSBURY,17361
GLATFELTER MEMORIAL LIBRARY,101 GLENVIEW RD,SPRING GROVE,17362
MASON DIXON PUBLIC LIBRARY,250 BAILEY DRIVE,STEWARTSTOWN,17363
MARTIN MEMORIAL LIBRARY,159 EAST MARKET ST,YORK,17401
YORK SYS ADMIN UNIT,159 EAST MARKET STREET,YORK,17401
MOORES MEMORIAL LIBRARY,9 WEST SLOKOM AVENUE,CHRISTIANA,17509
ELIZABETHTOWN PUBLIC LIBRARY,10 SOUTH MARKET STREET,ELIZABETHTOWN,17022
EPHRATA PUBLIC LIBRARY,550 SOUTH READING RD,EPHRATA,17522
LANCASTER PUBLIC LIBRARY,125 NORTH DUKE ST,LANCASTER,17602
LITITZ PUBLIC LIBRARY,651 KISSEL HILL ROAD,LITITZ,17543
MILANOF-SCHOCK LIBRARY,1184 ANDERSON FERRY RD.,MOUNT JOY,17552
EASTERN LANCASTER COUNTY LIB,11 CHESTNUT DR,NEW HOLLAND,17557
ANNVILLE FREE LIBRARY,216 E MAIN ST,ANNVILLE,17003
MYERSTOWN COMMUNITY LIBRARY,199 NORTH COLLEGE ST,MYERSTOWN,17067
PALMYRA PUBLIC LIBRARY,"50 LANDINGS DR, STE B",ANNVILLE,17003
RICHLAND COMMUNITY LIBRARY,111 EAST MAIN STREET,RICHLAND,17087
BETHEL TULPEHOCKEN PUBLIC LIBRARY,8601 LANCASTER AVE,BETHEL,19507
BOONE AREA LIBRARY,129 N. MILL ST.,BIRDSBORO,19508
VILLAGE LIBRARY OF MORGANTOWN,207 N. WALNUT STREET,MORGANTOWN,19543
HAMBURG PUBLIC LIBRARY,35 NORTH 3RD ST,HAMBURG,19526
READING PUBLIC LIBRARY,100 S. 5TH STREET,READING,19602
ROBESONIA COMMUNITY LIBRARY,75-A SOUTH BROOKE ST,ROBESONIA,19551
SINKING SPRING PUBLIC LIBRARY,3940 PENN AVE,SINKING SPRING,19608
MUHLENBERG COMMUNITY LIBRARY,3612 KUTZTOWN RD,LAURELDALE,19605
WERNERSVILLE PUBLIC LIBRARY,100 NORTH REBER STREET,WERNERSVILLE,19565
SPRING TOWNSHIP LIBRARY,78-C COMMERCE DRIVE,WYOMISSING,19610
WYOMISSING PUBLIC LIBRARY,9 READING BLVD,WYOMISSING,19610
CLEVE J. FREDRICKSEN LIBRARY,100 NORTH 19TH STREET,CAMP HILL,17011
BOSLER FREE LIBRARY,158 WEST HIGH ST,CARLISLE,17013
JOSEPH T. SIMPSON PUBLIC LIBRARY,16 N WALNUT ST,MECHANICSBURG,17055
AMELIA S GIVIN LIBRARY,114 NORTH BALTIMORE AVE,MT HOLLY SPRINGS,17065
NEW CUMBERLAND PUBLIC LIBRARY,1 BENJAMIN PLAZA,NEW CUMBERLAND,17070
JOHN GRAHAM PUBLIC LIBRARY,9 PARSONAGE ST,NEWVILLE,17241
SHIPPENSBURG PUBLIC LIBRARY,73 W KING ST,SHIPPENSBURG,17257
HERSHEY PUBLIC LIBRARY,701 COCOA AVE.,HERSHEY,17033
DAUPHIN COUNTY LIBRARY SYSTEM,101 WALNUT ST.,HARRISBURG,17101
MIDDLETOWN PUBLIC LIBRARY,20 NORTH CATHERINE ST,MIDDLETOWN,17057
MARYSVILLE RYE LIB ASSOCIATION,198 OVERCREST ROAD,MARYSVILLE,17053
MCBRIDE MEMORIAL LIBRARY,500 MARKET STREET,BERWICK,18603
BLOOMSBURG PUBLIC LIBRARY,225 MARKET ST,BLOOMSBURG,17815
COLUMBIA COUNTY TRAVELING LIBRARY AUTHORITY,"702 SAWMILL ROAD, SUITE 101",BLOOMSBURG,17815
THOMAS BEAVER FREE LIBRARY,205 FERRY STREET,DANVILLE,17821
MONTGOMERY HOUSE WARRIOR RUN AREA PUBLIC LIBR,20 CHURCH ST,MCEWENSVILLE,17749
MILTON PUBLIC LIBRARY,541 BROADWAY ST,MILTON,17847
MOUNT CARMEL PUBLIC LIBRARY,30 SOUTH OAK ST,MOUNT CARMEL,17851
PRIESTLEY FORSYTH MEM LIBRARY,100 KING ST,NORTHUMBERLAND,17857
RALPHO TOWNSHIP PUBLIC LIBRARY,206 S. MARKET ST. SUITE 6,ELYSBURG,17824
SHAMOKIN & COAL TWP PUB LIB,210 EAST INDEPENDENCE ST,SHAMOKIN,17872
DEGENSTEIN COMMUNITY LIBRARY,40 SOUTH FIFTH STREET,SUNBURY,17801
"SNYDER COUNTY LIBRARIES, INC.",1 NORTH HIGH ST,SELINSGROVE,17870
PUBLIC LIBRARY FOR UNION CO,255 REITZ BLVD,LEWISBURG,17837
JANE & ANNETTE HERR MEMORIAL LIBRARY,500 MARKET STREET,MIFFLINBURG,17844
SPALDING MEMORIAL LIBRARY,724 S MAIN ST,ATHENS,18810
GREEN FREE LIBRARY CANTON,38 N. CENTER STREET,CANTON,17724
MONROETON PUBLIC LIBRARY,149 DALPIAZ DR PO BOX 145,MONROETON,18832
SAYRE PUBLIC LIBRARY,122 SOUTH ELMER AVE,SAYRE,18840
TOWANDA PUBLIC LIBRARY,104 MAIN ST,TOWANDA,18848
BRADFORD COUNTY LIBRARY,707 MAIN ST,WEST BURLINGTON TOWN,16947
MATHER MEMORIAL LIBRARY,300 MAIN STREET,ULSTER,18850
WYALUSING PUBLIC LIBRARY,115 CHURCH STREET,WYALUSING,18853
HUGHESVILLE AREA PUBLIC LIBRARY,146 SOUTH 5TH STREET,HUGHESVILLE,17737
JERSEY SHORE PUBLIC LIBRARY,110 OLIVER STREET,JERSEY SHORE,17740
JAMES V BROWN LIBRARY,19 EAST 4TH ST,WILLIAMSPORT,17701
MONTGOMERY AREA PUBLIC LIBRARY,1 SOUTH MAIN STREET,MONTGOMERY,17752
MUNCY PUBLIC LIBRARY,108 SOUTH MAIN ST,MUNCY,17756
SULLIVAN COUNTY LIBRARY,206 CENTER STREET,DUSHORE,18614
BLOSSBURG MEMORIAL LIBRARY,307 MAIN ST,BLOSSBURG,16912
ELKLAND AREA COMMUNITY LIBRARY,110 E PARKWAY AVE,ELKLAND,16920
KNOXVILLE PUBLIC LIBRARY,112 E MAIN ST.,KNOXVILLE,16928
MANSFIELD FREE PUBLIC LIBRARY,71 NORTH MAIN ST,MANSFIELD,16933
GREEN FREE LIBRARY WELLSBORO,134 MAIN ST,WELLSBORO,16901
WESTFIELD PUBLIC LIBRARY,147 MAPLE ST,WESTFIELD,16950
BACK MOUNTAIN MEMORIAL LIBRARY,96 HUNTSVILLE RD,DALLAS,18612
HAZLETON AREA PUBLIC LIBRARY,55 N CHURCH ST,HAZLETON,18201
HOYT LIBRARY,284 WYOMING AVE,KINGSTON,18704
MARIAN SUTHERLAND KIRBY LIB,35 KIRBY AVENUE,MOUNTAINTOP,18707
MILL MEMORIAL LIBRARY,495 EAST MAIN ST,NANTICOKE,18634
PITTSTON MEMORIAL LIBRARY,47 BROAD ST,PITTSTON,18640
PLYMOUTH PUBLIC LIBRARY,107 WEST MAIN ST,PLYMOUTH,18651
WEST PITTSTON LIBRARY,200 EXETER AVE,WEST PITTSTON,18643
OSTERHOUT FREE LIBRARY,71 SOUTH FRANKLIN ST,WILKES-BARRE,18701
TUNKHANNOCK PUBLIC LIBRARY,220 W. TIOGA ST.,TUNKHANNOCK,18657
CARBONDALE PUBLIC LIBRARY,5 NORTH MAIN ST,CARBONDALE,18407
ABINGTON COMMUNITY LIBRARY,1200 WEST GROVE STREET,CLARKS SUMMIT,18411
DALTON COMMUNITY LIBRARY,113 EAST MAIN ST,DALTON,18414
VALLEY COMMUNITY LIBRARY,739 RIVER ST,PECKVILLE,18452
NORTH POCONO PUBLIC LIBRARY,113 VAN BRUNT ST,MOSCOW,18444
SCRANTON PUBLIC LIBRARY,500 VINE STREET,SCRANTON,18509
TAYLOR COMMUNITY LIBRARY,710 SOUTH MAIN STREET,TAYLOR,18517
SUS QUE CO HIST SOC & FREE LIB,18 MONUMENT ST,MONTROSE,18801
PRATT MEMORIAL LIBRARY,752 MAIN STREET,NEW MILFORD,18834
WAYNE COUNTY PUBLIC LIBRARY,1406 MAIN ST,HONESDALE,18431
BARRETT PARADISE FRIENDLY LIBRARY,6500 ROUTE 191,CRESCO,18326
WESTERN POCONO COMMUNITY LIBRARY,2000 PILGRIM WAY,BRODHEADSVILLE,18322
POCONO MOUNTAIN PUBLIC LIBRARY,5500 MUNICIPAL DR,TOBYHANNA,18466
EASTERN MONROE PUBLIC LIBRARY,1002 NORTH 9TH ST,STROUDSBURG,18360
CLYMER LIBRARY ASSOCIATION,FIREHOUSE RD.,POCONO PINES,18350
BANGOR PUBLIC LIBRARY,39 SOUTH MAIN ST,BANGOR,18013
BETHLEHEM AREA PUBLIC LIBRARY,11 WEST CHURCH ST,BETHLEHEM,18018
EASTON AREA PUBLIC LIBRARY,515 CHURCH ST,EASTON,18042
MEM LIB OF NAZARETH & VICINITY,295 E CENTER ST,NAZARETH,18064
NORTHAMPTON AREA PUB LIBRARY,"GEORGE SCHISLER BLDG, 1615 LAUBACH",NORTHAMPTON,18067
MARY MEUSER MEMORIAL LIBRARY,1803 NORTHAMPTON ST,EASTON,18042
PIKE COUNTY PUBLIC LIBRARY,119 E HARFORD ST,MILFORD,18337
DIMMICK MEMORIAL LIBRARY,54 BROADWAY,JIM THORPE,18229
LEHIGHTON AREA MEMORIAL LIBRARY,124 NORTH ST,LEHIGHTON,18235
PALMERTON AREA LIBRARY,402 DELAWARE AVE,PALMERTON,18071
ALLENTOWN PUBLIC LIBRARY,1210 HAMILTON ST,ALLENTOWN,18102
PUBLIC LIBRARY OF CATASAUQUA,THIRD & BRIDGE STS,CATASAUQUA,18032
COPLAY PUBLIC LIBRARY,49 SOUTH FIFTH ST,COPLAY,18037
